Raw Name,Clean Name,alt name,Flip Vertical,Rotation Applied,Z reverse,Flipped in Preprocessing,Notes,Egocentric Leaning,Skip Affine,Refinement Inclusion,Correction Angle,MB Tilt Angle,Δ from 90,Mirrored?,Mirror Value,Experiment,Condition,AMIRA volume,neuropil segmenter / notes,L MB,R MB,L AL,R AL,L OL,R OL,CBupper,CBlower,PB,L NO,R NO,CB,CX,body length,head area
Rd1_i02b13,,,,,,,,,,,,,,,,intercastevworker,intercaste,4098283,,,,,,,,,,,,,,,,
Rd1_i02b16,,,,,,,,,,,,,,,,intercastevworker,intercaste,5372641,,,,,,,,,,,,,,,,
Rd1_i02b17,,,,,,,,,,,,,,,,intercastevworker,intercaste,4738975,,,,,,,,,,,,,,,,
Rd1_i02b18,,,,,,,,,,,,,,,,intercastevworker,intercaste,,,,,,,,,,,,,,,,,
Rd1_i02b21,,,,,,,,,,,,,,,,intercastevworker,intercaste,9316222,,,,,,,,,,,,,,,,
Rd1_i02b24,,,,,,,,,,,,,,,,intercastevworker,intercaste,5637570,,,,,,,,,,,,,,,,
Rd1_i02b25,,,,,,,,,,,,,,,,intercastevworker,intercaste,5204995,,,,,,,,,,,,,,,,
Rd1_w01b01,,,,,,,,,,,,,,,,intercastevworker,worker,4142691,,,,,,,,,,,,,,,,
Rd1_w01b04,,,,,,,,,,,,,,,,intercastevworker,worker,5815784,,,,,,,,,,,,,,,,
Rd1_w01b07,,,,,,,,,,,,,,,,intercastevworker,worker,5469726,,,,,,,,,,,,,,,,
Rd1_w01b09,,,,,,,,,,,,,,,,intercastevworker,worker,3664208,,,,,,,,,,,,,,,,
Rd1_w01b13,,,,,,,,,,,,,,,,intercastevworker,worker,4139029,,,,,,,,,,,,,,,,
Rd1_w02b16,,,,,,,,,,,,,,,,intercastevworker,worker,7450651,,,,,,,,,,,,,,,,
Rd1_w02b18,,,,,,,,,,,,,,,,intercastevworker,worker,5275895,,,,,,,,,,,,,,,,
Rd1_w02b19,,,,,,,,,,,,,,,,intercastevworker,worker,5444034,,,,,,,,,,,,,,,,
Rd1_w02b20,,,,,,,,,,,,,,,,intercastevworker,worker,4149626,,,,,,,,,,,,,,,,
Rd1_w02b21,,,,,,,,,,,,,,,,intercastevworker,worker,4165275,,,,,,,,,,,,,,,,
Rd1_w02b22,,,,,,,,,,,,,,,,intercastevworker,worker,4108174,,,,,,,,,,,,,,,,
Rd1_w02b24,,,,,,,,,,,,,,,,intercastevworker,worker,4227276,,,,,,,,,,,,,,,,
Rd1_w02b25,,,,,,,,,,,,,,,,intercastevworker,worker,5487344,,,,,,,,,,,,,,,,
Rd2_i01b01,,,,,,,,,,,,,,,,intercastevworker,intercaste,4491599,,,,,,,,,,,,,,,,
Rd2_i01b04,,,,,,,,,,,,,,,,intercastevworker,intercaste,6577996,,,,,,,,,,,,,,,,
Rd2_i01b05,,,,,,,,,,,,,,,,intercastevworker,intercaste,5788722,,,,,,,,,,,,,,,,
Rd2_i02b06,,,,,,,,,,,,,,,,intercastevworker,intercaste,4858280,,,,,,,,,,,,,,,,
Rd2_i02b07,,,,,,,,,,,,,,,,intercastevworker,intercaste,6901402,,,,,,,,,,,,,,,,
Rd2_i02b09,,,,,,,,,,,,,,,,intercastevworker,intercaste,7154851,,,,,,,,,,,,,,,,
Rd2_i02b13,,,,,,,,,,,,,,,,intercastevworker,intercaste,4619864,,,,,,,,,,,,,,,,
Rd2_i02b14,,,,,,,,,,,,,,,,intercastevworker,intercaste,5687133,,,,,,,,,,,,,,,,
Rd2_i02b16,,,,,,,,,,,,,,,,intercastevworker,intercaste,4232548,,,,,,,,,,,,,,,,
